AN,AutoNation  Inc.,http://www.nasdaq.com/symbol/an
AZO,AutoZone  Inc.,http://www.nasdaq.com/symbol/azo
AVB,AvalonBay Communities  Inc.,http://www.nasdaq.com/symbol/avb
AGR,Avangrid  Inc.,http://www.nasdaq.com/symbol/agr
ACP,Avenue Income Credit Strategies Fund,http://www.nasdaq.com/symbol/acp
AVY,Avery Dennison Corporation,http://www.nasdaq.com/symbol/avy
AVH,Avianca Holdings S.A.,http://www.nasdaq.com/symbol/avh
AVA,Avista Corporation,http://www.nasdaq.com/symbol/ava
AV,Aviva plc,http://www.nasdaq.com/symbol/av
AVV.CL,Aviva plc,http://www.nasdaq.com/symbol/avv.cl
AVT,Avnet  Inc.,http://www.nasdaq.com/symbol/avt
AVP,Avon Products  Inc.,http://www.nasdaq.com/symbol/avp
AVX,AVX Corporation,http://www.nasdaq.com/symbol/avx
AXTA,Axalta Coating Systems Ltd.,http://www.nasdaq.com/symbol/axta
AXS,Axis Capital Holdings Limited,http://www.nasdaq.com/symbol/axs
AXS.PRC,Axis Capital Holdings Limited,http://www.nasdaq.com/symbol/axs.prc
AXS.PRD,Axis Capital Holdings Limited,http://www.nasdaq.com/symbol/axs.prd
AXS.PRE,Axis Capital Holdings Limited,http://www.nasdaq.com/symbol/axs.pre
AXON          ,Axovant Sciences Ltd.,http://www.nasdaq.com/symbol/axon
AZRE,Azure Power Global Limited,http://www.nasdaq.com/symbol/azre
AZZ,AZZ Inc.,http://www.nasdaq.com/symbol/azz
BGS,B&G Foods  Inc.,http://www.nasdaq.com/symbol/bgs
BW,Babcock,http://www.nasdaq.com/symbol/bw
BGH,Babson Global Short Duration High Yield Fund,http://www.nasdaq.com/symbol/bgh
BMI,Badger Meter  Inc.,http://www.nasdaq.com/symbol/bmi
BHI,Baker Hughes Incorporated,http://www.nasdaq.com/symbol/bhi
BBN,BalckRock Taxable Municipal Bond Trust,http://www.nasdaq.com/symbol/bbn
BLL,Ball Corporation,http://www.nasdaq.com/symbol/bll
BGE.PRB,Baltimore Gas & Electric Company,http://www.nasdaq.com/symbol/bge.prb
BANC,Banc of California  Inc.,http://www.nasdaq.com/symbol/banc
BBVA,Banco Bilbao Viscaya Argentaria S.A.,http://www.nasdaq.com/symbol/bbva
BBD,Banco Bradesco Sa,http://www.nasdaq.com/symbol/bbd
BBDO,Banco Bradesco Sa,http://www.nasdaq.com/symbol/bbdo
BCH,Banco De Chile,http://www.nasdaq.com/symbol/bch
BLX,Banco Latinoamericano de Comercio Exterior  S.A.,http://www.nasdaq.com/symbol/blx
BSBR,Banco Santander Brasil SA,http://www.nasdaq.com/symbol/bsbr
BSAC,Banco Santander Chile,http://www.nasdaq.com/symbol/bsac
SAN,Banco Santander  S.A.,http://www.nasdaq.com/symbol/san
SAN.PRA,Banco Santander  S.A.,http://www.nasdaq.com/symbol/san.pra
SAN.PRB,Banco Santander  S.A.,http://www.nasdaq.com/symbol/san.prb
SAN.PRC,Banco Santander  S.A.,http://www.nasdaq.com/symbol/san.prc
SAN.PRI,Banco Santander  S.A.,http://www.nasdaq.com/symbol/san.pri
CIB,BanColombia S.A.,http://www.nasdaq.com/symbol/cib
BXS,BancorpSouth  Inc.,http://www.nasdaq.com/symbol/bxs
BAC,Bank of America Corporation,http://www.nasdaq.com/symbol/bac
BAC.PRA,Bank of America Corporation,http://www.nasdaq.com/symbol/bac.pra
BAC.PRC,Bank of America Corporation,http://www.nasdaq.com/symbol/bac.prc
BAC.PRD,Bank of America Corporation,http://www.nasdaq.com/symbol/bac.prd
BAC.PRE,Bank of America Corporation,http://www.nasdaq.com/symbol/bac.pre
BAC.PRI,Bank of America Corporation,http://www.nasdaq.com/symbol/bac.pri
BAC.PRL,Bank of America Corporation,http://www.nasdaq.com/symbol/bac.prl
BAC.PRW,Bank of America Corporation,http://www.nasdaq.com/symbol/bac.prw
BAC.PRY,Bank of America Corporation,http://www.nasdaq.com/symbol/bac.pry
BAC.WS.A,Bank of America Corporation,http://www.nasdaq.com/symbol/bac.ws.a
BAC.WS.B,Bank of America Corporation,http://www.nasdaq.com/symbol/bac.ws.b
BML.PRG,Bank of America Corporation,http://www.nasdaq.com/symbol/bml.prg
BML.PRH,Bank of America Corporation,http://www.nasdaq.com/symbol/bml.prh
BML.PRI,Bank of America Corporation,http://www.nasdaq.com/symbol/bml.pri
BML.PRJ,Bank of America Corporation,http://www.nasdaq.com/symbol/bml.prj
BML.PRL,Bank of America Corporation,http://www.nasdaq.com/symbol/bml.prl
BOH,Bank of Hawaii Corporation,http://www.nasdaq.com/symbol/boh
BMO,Bank Of Montreal,http://www.nasdaq.com/symbol/bmo
NTB,Bank of N.T. Butterfield & Son Limited (The),http://www.nasdaq.com/symbol/ntb
BK,Bank Of New York Mellon Corporation (The),http://www.nasdaq.com/symbol/bk
BK.PRC,Bank Of New York Mellon Corporation (The),http://www.nasdaq.com/symbol/bk.prc
BNS,Bank of Nova Scotia (The),http://www.nasdaq.com/symbol/bns
